language,noise,rate,conservativerate,numberofsentences,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,timestamp,duration
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0777274946018345e-07,5.149928825291271e-05,4.618145601297583e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.624172,0:00:07.442795
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9724210378680376e-07,4.796877274208277e-05,4.5380112392788485e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.676334,0:00:07.498509
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.5662811216870382e-07,4.615662956205082e-05,4.432585225083804e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.724518,0:00:07.546315
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7713374052902574e-07,4.60183326453772e-05,4.344792425685756e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.770492,0:00:07.589664
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.860317387410333e-07,4.957856009214791e-05,4.0712974360563324e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.781604,0:00:07.603071
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.917945841512124e-07,4.925726446325077e-05,4.377509082791049e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.803045,0:00:07.627323
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7484533661524657e-07,4.645770034794424e-05,4.346965908640076e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.805333,0:00:07.628136
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8931677571278352e-07,4.9454737576360066e-05,4.459267373907585e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.809572,0:00:07.632947
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6849271918860548e-07,4.638804863489038e-05,4.166046401546633e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.814812,0:00:07.638494
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9665111664041215e-07,5.098673426349673e-05,4.2566091013689285e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.824007,0:00:07.648147
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7873554196915778e-07,4.816108027252792e-05,4.683270734314188e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.828007,0:00:07.649325
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7449590812260925e-07,4.8209277497706256e-05,4.406062729630445e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.827673,0:00:07.652233
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7545852104892967e-07,4.583458112119713e-05,4.390664622639179e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.831176,0:00:07.654149
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8556712424104603e-07,4.906057986166357e-05,4.4659629694477746e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.835139,0:00:07.658754
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.040653795032481e-07,5.010200914342338e-05,4.588217543835858e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-12-03 16:42:09.839288,0:00:07.664311
