language,noise,rate,conservativerate,numberofsentences,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,timestamp,duration
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.3470012641302624e-65,1.5753870768380222e-41,4.490204985050666e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.154677,0:00:07.169168
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,5.06837510086889e-66,1.0817286554072008e-41,1.7411188951428644e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.163655,0:00:07.177879
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,8.241948877308665e-66,1.3968224820768259e-41,7.793405715127519e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.167105,0:00:07.180808
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.765719214541744e-65,2.8037093683770933e-41,2.221792056966501e-81,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.191366,0:00:07.204948
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,7.957771810989766e-66,7.099979865548892e-42,9.667959303212198e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.193097,0:00:07.207884
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,4.7012674658974437e-66,2.1281509722460335e-41,4.6420577622671835e-81,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.210449,0:00:07.224832
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,7.198683779855266e-66,1.52106874940395e-41,5.0388950217987346e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.212347,0:00:07.227296
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.4965226959263285e-65,1.8036991408911104e-41,6.539357971560479e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.219402,0:00:07.234761
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.4815948820344634e-65,1.250976043312611e-41,8.572130055576872e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.221881,0:00:07.232912
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,2.8002590818802713e-65,5.142096499108803e-41,3.0013632812400742e-81,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.227189,0:00:07.234332
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.0623282633013703e-64,1.1239309385243968e-40,1.9020367897179348e-81,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.242868,0:00:07.260978
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,3.1741043172172834e-65,3.068439320518247e-41,3.3073038252756825e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.255059,0:00:07.272753
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.704838358108279e-65,1.4179861018958847e-41,1.1201070591622306e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.257780,0:00:07.275945
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,4.983608623671594e-65,6.158987401493213e-41,3.108543863000685e-81,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.261584,0:00:07.277276
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.8658114539793573e-65,1.4108961713864054e-41,2.0816296226955564e-81,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.272301,0:00:07.286367
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.1647624061776782e-65,2.626836501797254e-41,2.797961250079446e-81,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.272574,0:00:07.283150
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,6.447047543645356e-66,1.5058960886286454e-41,2.1559659335864022e-81,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.276187,0:00:07.294715
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.0589510348323703e-65,2.4002058831784136e-41,2.4729354279867203e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.279601,0:00:07.298046
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,9.156831461120403e-66,1.4038416905294732e-41,5.1409453543420093e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.279997,0:00:07.293246
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.4594818932207387e-65,2.0039154920238679e-41,2.4684180538064207e-81,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.285673,0:00:07.305288
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,6.610669865516538e-66,1.1203578701105151e-41,9.241501541925553e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.287119,0:00:07.305998
611,0.0,0.05,0.005,500000,4.4e-323,4.4e-323,4.4e-323,1.922778557707819e-65,1.461280166352364e-41,6.035377002762196e-82,0.9999999999999889,0.9999999999999989,4.4e-323,4.4e-323,4.4e-323,0.9999999999999989,0.9999999999999989,2021-01-12 10:36:07.297057,0:00:07.312438
