language,noise,rate,conservativerate,numberofsentences,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,timestamp,duration
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.596283803491803e-291,1.0507104038632856e-91,1.1208959889367896e-57,5.596883889647611e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.6480017691197758,0.9999999999999973,2021-03-18 13:56:32.112190,0:00:07.135950
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.1090524831909524e-292,1.0806524404385788e-91,2.4791353333736773e-57,1.1539146902604434e-113,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5031435373780786,0.9999999999999973,2021-03-18 13:56:32.254601,0:00:07.278164
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.0224192794998721e-293,3.0563090066137834e-91,4.764530649251224e-57,1.5805601443248562e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5335108820788841,0.9999999999999973,2021-03-18 13:56:32.280421,0:00:07.303303
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.0024956042989843e-292,1.5485344048557717e-90,5.483213484430098e-57,8.898071611791659e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5668773417765347,0.9999999999999973,2021-03-18 13:56:32.299318,0:00:07.323412
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,5.468456323949166e-293,4.955102259671791e-92,2.196802256541634e-58,1.0458350225595638e-113,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.4693628990544692,0.9999999999999973,2021-03-18 13:56:32.302483,0:00:07.325501
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,3.301748666891226e-292,2.889290763424415e-91,1.9117118377878553e-57,8.518142362316157e-115,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5279773829678647,0.9999999999999973,2021-03-18 13:56:32.312434,0:00:07.336261
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,4.038832880034719e-293,4.1570364634841425e-92,1.4232817026993556e-57,2.4604150296753012e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.6064936541140906,0.9999999999999973,2021-03-18 13:56:32.348897,0:00:07.371363
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,4.2097710180232044e-291,6.952406986051875e-91,4.600090411323551e-57,1.4224917422161233e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5971348061201658,0.9999999999999973,2021-03-18 13:56:32.348866,0:00:07.374647
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.1084720004860881e-293,5.103899581207194e-91,2.1693816210474776e-57,4.97427756495126e-113,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.6114896652697176,0.9999999999999973,2021-03-18 13:56:32.356552,0:00:07.379062
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,2.388547328720831e-293,9.672093985909935e-91,7.68194559943473e-57,3.994939669549805e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5260390379815985,0.9999999999999973,2021-03-18 13:56:32.357062,0:00:07.379106
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.1783488206348463e-292,1.7327379323780891e-90,3.2149782617310206e-57,5.68452647963535e-113,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5478501608758165,0.9999999999999973,2021-03-18 13:56:32.359197,0:00:07.382540
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.7650310818444096e-292,5.7025309578462526e-92,4.251690154532081e-58,4.597537234649281e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5629972282506217,0.9999999999999973,2021-03-18 13:56:32.372989,0:00:07.398263
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,8.885181470295246e-292,1.0002942492276296e-91,2.674311600070669e-58,4.3769339672665544e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.4617650626513115,0.9999999999999973,2021-03-18 13:56:32.387188,0:00:07.412138
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,5.465594111054401e-294,1.6587536073571783e-91,6.572161102838804e-58,2.928401801750531e-115,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5639542580441987,0.9999999999999973,2021-03-18 13:56:32.401640,0:00:07.421660
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.2526305964270129e-291,1.4133869895881563e-90,4.3487090826198984e-57,5.037151634977476e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.47681015078516253,0.9999999999999973,2021-03-18 13:56:32.405204,0:00:07.429913
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,9.440349546421182e-292,4.251895497668294e-91,4.798117471552089e-57,7.320173050877488e-113,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.46118790322593756,0.9999999999999973,2021-03-18 13:56:32.421241,0:00:07.432260
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,7.705380508036539e-294,6.516763049014734e-92,1.2024660683090483e-57,8.352935600475104e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5648587854271474,0.9999999999999973,2021-03-18 13:56:32.431931,0:00:07.451619
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.0640193054726093e-294,5.6229749484533396e-92,8.704388387736859e-58,3.750191641895964e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5808827002336422,0.9999999999999973,2021-03-18 13:56:32.439724,0:00:07.465198
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,2.807535430339199e-293,1.1756960433099227e-91,8.228719319782089e-58,9.7489011355233e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5036384161935932,0.9999999999999973,2021-03-18 13:56:32.491372,0:00:07.515851
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.1771156380507887e-294,1.7920088366607374e-91,9.286274517125493e-57,4.604386254162696e-113,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5383801089682294,0.9999999999999973,2021-03-18 13:56:32.509276,0:00:07.535351
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,4.742338342607523e-295,1.6241630494304716e-91,2.514211092322671e-57,1.0312445781598353e-113,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5386784836124946,0.9999999999999973,2021-03-18 13:56:32.521851,0:00:07.546191
611,0.0,0.02,0.007,500000,1.2e-322,1.2e-322,1.3559279078550662e-294,7.877750480381377e-92,9.877608025206414e-58,4.285660261958794e-114,0.9999999999999921,0.9999999999999973,1.2e-322,1.2e-322,1.2e-322,0.5618159223470168,0.9999999999999973,2021-03-18 13:56:32.538779,0:00:07.565959
