language,noise,rate,conservativerate,numberofsentences,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,timestamp,duration
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.618034635756062e-07,4.447963082140876e-05,4.7612053789574795e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.414403,0:00:07.494400
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.5161829653954698e-07,4.606438551479562e-05,4.3252799173158786e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.520162,0:00:07.598474
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.689145835721674e-07,4.581166383063653e-05,5.027960811290164e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.564789,0:00:07.646383
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8399609722158303e-07,4.94052952024681e-05,4.23113956388572e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.667473,0:00:07.745589
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7882495444638097e-07,4.782504618687733e-05,4.549373304792864e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.674916,0:00:07.755836
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6925283544842692e-07,4.676073496046408e-05,4.501842972556589e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.690250,0:00:07.769394
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0254023428435744e-07,4.806483032952574e-05,4.857412402854997e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.703187,0:00:07.783039
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.018324059149216e-07,5.27769274072445e-05,4.486110137142528e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.719993,0:00:07.798399
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0386136514008972e-07,5.101224038368857e-05,4.730350217498629e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.736413,0:00:07.817086
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7414717796298917e-07,4.565156331813857e-05,4.519890928654175e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.759245,0:00:07.843400
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.5545750392050671e-07,4.1347546879576274e-05,4.280090837917111e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.771804,0:00:07.853957
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0142904375079705e-07,4.6901262986897766e-05,5.267343340468235e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.772493,0:00:07.852757
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8390409917297225e-07,4.977732128425951e-05,4.8477048617394895e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.791512,0:00:07.873410
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7846757268551858e-07,4.6924725349572554e-05,4.751690107627328e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.807481,0:00:07.890307
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9420767013411028e-07,5.0479281540544386e-05,4.789865671777799e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.819340,0:00:07.900840
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8538160350858603e-07,4.549202231760675e-05,4.155641695452515e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.853983,0:00:07.937535
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.3032024046415533e-07,5.612545732796956e-05,4.588217543835858e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.861831,0:00:07.940941
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.4802188781924875e-07,4.241573793452891e-05,4.014682347560459e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.872528,0:00:07.955934
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.5891634146095555e-07,4.2458185505488025e-05,4.95308564675854e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.888547,0:00:07.971113
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8399609722158303e-07,4.813699973239165e-05,3.6234716814924528e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.906724,0:00:07.995384
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.677360166188821e-07,4.6527456643132396e-05,4.595106758217503e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.932966,0:00:08.017166
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9036114848593973e-07,4.624905832824145e-05,4.08966416071137e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:40.985974,0:00:08.073308
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.5971311264526632e-07,4.226750534890613e-05,3.786505635819394e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.008469,0:00:08.093623
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.859387228716628e-07,5.045404189977411e-05,4.338278495098447e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.017006,0:00:08.096959
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9017083492774092e-07,4.758645827096418e-05,4.765970157622563e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.021386,0:00:08.105630
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8326139951820923e-07,4.390499517632404e-05,4.641299956011756e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.027998,0:00:08.113172
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7820000515486135e-07,4.7349060614092233e-05,4.683270734314188e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.029428,0:00:08.113938
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7748845128765726e-07,4.445739100599806e-05,4.331774330522386e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.092313,0:00:08.178612
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.820737674752186e-07,4.55831202061274e-05,4.333941301172972e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.116811,0:00:08.202480
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7882495444638097e-07,4.866956361149946e-05,4.560763818128168e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.119843,0:00:08.206539
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7828914972972622e-07,4.6341672183267654e-05,3.980693706154422e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.121407,0:00:08.207458
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8344479845546507e-07,5.1344983381784974e-05,4.504095020066622e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.133451,0:00:08.220434
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9198652267725898e-07,4.7372746987586024e-05,4.3187952408591825e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.174667,0:00:08.263506
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9645451468655091e-07,4.928190541595875e-05,4.355670718749059e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.177706,0:00:08.267474
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.5654979811261945e-07,4.0145313808588004e-05,3.765731841256242e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.278468,0:00:08.368466
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7695665107193186e-07,4.594933965440633e-05,4.613528610232686e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.281520,0:00:08.371966
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9352896202967525e-07,4.780113366378389e-05,4.4704322841238275e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.291696,0:00:08.381003
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6392117335544578e-07,4.447963082140876e-05,4.338278495098447e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.319853,0:00:08.405523
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8491861272215428e-07,4.483698472314708e-05,4.641299956011756e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.324038,0:00:08.414536
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7484533661524657e-07,4.503925649663113e-05,4.553926092403744e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.342112,0:00:08.429741
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0798067814315708e-07,5.253990567251624e-05,4.558483436219104e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.346625,0:00:08.437732
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6993137260802724e-07,4.414719865456874e-05,3.843745758987352e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.351841,0:00:08.442550
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9420767013411028e-07,4.7944788355711726e-05,4.9407153091659516e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.523147,0:00:08.614908
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.62452136091474e-07,4.178409312348607e-05,4.3101641264111974e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.538521,0:00:08.629868
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7981144871178111e-07,4.7349060614092233e-05,4.85498369665357e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.549541,0:00:08.642182
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9518138418964697e-07,5.012707267976326e-05,4.2100314029747915e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.638559,0:00:08.731302
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.936257749171338e-07,4.886468062306644e-05,4.2247960273656726e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.708813,0:00:08.802043
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7936236939391532e-07,4.925726446325077e-05,5.038029315395682e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:41.814606,0:00:08.907676
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7250020351274571e-07,4.6527456643132396e-05,4.528942021548427e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:47.874222,0:00:07.349526
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7353857635128995e-07,4.608742922941033e-05,4.441461488088201e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:47.891890,0:00:07.325613
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.1038686659789812e-07,5.1525050778301864e-05,4.923448722734419e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:47.943030,0:00:07.266997
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.408714502783721e-07,3.9468443941421875e-05,4.547098618140467e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.030521,0:00:07.611898
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0766886308545335e-07,5.0076958138851665e-05,4.428153748005026e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.169440,0:00:07.395589
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8922211732492713e-07,4.849947544124526e-05,4.3252799173158786e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.217946,0:00:07.526241
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0082551147507495e-07,4.8913581976647596e-05,4.522152004656504e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.219403,0:00:07.514814
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8436454986666233e-07,4.780113366378389e-05,5.086130740165427e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.227474,0:00:07.506268
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9508379349755215e-07,5.157661449864689e-05,4.189028545717954e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.260837,0:00:07.468053
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0082551147507495e-07,5.160241570650014e-05,5.406125311409349e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.265538,0:00:07.445124
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6490790433087924e-07,4.254320812820118e-05,3.884327919242642e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.277115,0:00:07.539199
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8818399358494707e-07,5.3360825143780835e-05,4.333941301172972e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.283626,0:00:07.475079
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.097564944230842e-07,4.965300236214598e-05,4.535742233659209e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.336796,0:00:07.668226
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9773594956795787e-07,5.4548071951056285e-05,5.912418740870691e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.342780,0:00:07.569737
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.970449109935429e-07,5.101224038368857e-05,3.905755953317245e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.350904,0:00:07.487950
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.1228937249482604e-07,5.3735755384656816e-05,4.680929098947031e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.360651,0:00:07.599967
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.2575846496710388e-07,5.4903878496012026e-05,5.438667729162029e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.377420,0:00:07.503797
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8715156527272533e-07,4.813699973239165e-05,4.267266605047785e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.398732,0:00:07.543276
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8799585663736052e-07,5.037839867114912e-05,4.355670718749059e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.553093,0:00:07.619015
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8473374033908532e-07,4.761026340266551e-05,4.093756894166313e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.589129,0:00:07.559814
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6756832253626737e-07,4.78968555535531e-05,4.770739704642278e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.594325,0:00:07.576488
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0355572596292077e-07,5.0630984755146996e-05,4.713818805391088e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.606622,0:00:07.717359
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.0725383675875562e-07,4.869391056678285e-05,5.058226850595577e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.613589,0:00:07.706213
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8234715146484565e-07,4.669062892272951e-05,4.690302671180243e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.617367,0:00:07.607817
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8152822849440722e-07,4.847522570352464e-05,4.58592343506394e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.635810,0:00:07.613074
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7686817274639589e-07,4.572010919756804e-05,4.9928792432616205e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.653069,0:00:07.360027
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6523813282193262e-07,4.4971731385698655e-05,4.542552656296981e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.710967,0:00:07.723604
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.2250777892838436e-07,5.686003634905379e-05,4.928375866506959e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.728200,0:00:07.634829
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.835365667388345e-07,4.528771716807021e-05,4.506348194163704e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.842005,0:00:07.721204
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8262094594087514e-07,4.8329981687367834e-05,4.472668618433044e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.873832,0:00:07.843364
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.4973439573440474e-07,4.416928329621685e-05,3.81120428124439e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.907296,0:00:07.730792
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.7155382071696258e-07,4.6643949966464006e-05,4.437021136965485e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.914744,0:00:07.791709
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.9469391843871757e-07,4.7349060614092233e-05,4.540281379968833e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:48.978653,0:00:07.860411
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.8344479845546507e-07,4.676073496046408e-05,3.896001322942861e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:49.002162,0:00:07.681116
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,2.3686199990931998e-07,5.604131122905492e-05,5.00287749643938e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:49.010227,0:00:07.872318
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6107680252302535e-07,4.136823099507381e-05,3.81120428124439e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:49.088019,0:00:07.909207
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.5086190849039965e-07,3.83975857980517e-05,3.546379477254094e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:49.135875,0:00:07.792465
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6433159171110744e-07,4.348976935332026e-05,4.104006655918195e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:49.150710,0:00:07.867745
611,0.0,0.9,0.0005,500000,0.0,0.0,0.0,1.6933750420052717e-07,4.58575098761352e-05,4.549373304792864e-09,0.999999999999889,1.0,0.0,0.0,0.0,1.0,1.0,2020-11-29 18:32:49.232922,0:00:07.884933
