language,noise,rate,conservativerate,numberofsentences,threshold,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,timestamp,duration
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,1.9102874703497327e-07,5.101224038368857e-05,4.6739112154103186e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9955827719879602,1.0,2020-10-30 11:30:41.477963,0:00:05.930065
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,1.982310318176493e-07,4.972755640730558e-05,4.501842972556589e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9893222606679629,1.0,2020-10-30 11:30:41.483827,0:00:05.935854
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,1.6043362172371773e-07,4.676073496046408e-05,4.711461895988392e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9974764639084803,1.0,2020-10-30 11:30:41.494434,0:00:05.948524
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,1.7224158256106672e-07,4.307847047492487e-05,3.974725650617883e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9996384770601916,1.0,2020-10-30 11:30:41.514850,0:00:05.967593
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,2.0704663473545606e-07,5.2382482848844445e-05,4.452581816739845e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9951749114371715,1.0,2020-10-30 11:30:41.529400,0:00:05.982284
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,2.0632305760333808e-07,5.576173429777641e-05,5.9035545463343886e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9958936412578521,1.0,2020-10-30 11:30:41.544541,0:00:05.995793
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,1.7327839861900296e-07,4.58575098761352e-05,4.9630042131597305e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9989323682574183,1.0,2020-10-30 11:30:41.571414,0:00:06.024084
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,1.5306589750177784e-07,4.241573793452891e-05,4.254480796818244e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9848079871288345,1.0,2020-10-30 11:30:41.578083,0:00:06.032164
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,1.9237097616930679e-07,4.666728360826814e-05,5.010389323258574e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9966374638634274,1.0,2020-10-30 11:30:41.580262,0:00:06.031281
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,1.9285262584335606e-07,4.744387722644826e-05,4.5131144816144035e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9996384159476461,1.0,2020-10-30 11:30:41.582993,0:00:06.038338
611,0.0,0.9,0.0005,500000,0.001,0.0,0.0,0.0,1.5987294562265255e-07,4.28207092635119e-05,4.57904798878068e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9956516628827337,1.0,2020-10-30 11:30:41.584021,0:00:06.037573
