language,noise,rate,conservativerate,numberofsentences,threshold,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,timestamp,duration
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.49533797469230734,1.0,2020-09-23 22:16:33.337411,0:00:03.018137
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.42342509003854345,1.0,2020-09-23 22:16:33.350401,0:00:03.033372
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.05000724724429953,1.0,2020-09-23 22:16:33.351196,0:00:03.032459
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.37895029771358146,1.0,2020-09-23 22:16:33.359448,0:00:03.041141
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.48256758316680365,1.0,2020-09-23 22:16:33.359971,0:00:03.042010
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.432296366787934,1.0,2020-09-23 22:16:33.364613,0:00:03.045404
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.759228007294408,1.0,2020-09-23 22:16:33.368414,0:00:03.049485
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.43420947488081174,1.0,2020-09-23 22:16:33.391090,0:00:03.072913
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.6190426839369411,1.0,2020-09-23 22:16:33.393531,0:00:03.075862
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.3850273880090542,1.0,2020-09-23 22:16:33.403875,0:00:03.086475
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.426855397909807,1.0,2020-09-23 22:16:33.429284,0:00:03.111794
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.46086997358425785,1.0,2020-09-23 22:16:33.436918,0:00:03.118337
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.03087323981057851,1.0,2020-09-23 22:16:36.370971,0:00:03.033042
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.5990528464411888,1.0,2020-09-23 22:16:36.395965,0:00:03.044380
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.4493961581151812,1.0,2020-09-23 22:16:36.402682,0:00:03.037482
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.07547502993485403,1.0,2020-09-23 22:16:36.420387,0:00:03.059507
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.30992668765553477,1.0,2020-09-23 22:16:36.419696,0:00:03.059742
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.1284058116237115,1.0,2020-09-23 22:16:36.421953,0:00:03.053304
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.2530998618070472,1.0,2020-09-23 22:16:36.441231,0:00:03.046669
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.4442401997765156,1.0,2020-09-23 22:16:36.468391,0:00:03.038227
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.5276266111848201,1.0,2020-09-23 22:16:36.475208,0:00:03.080698
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.17721413738538772,1.0,2020-09-23 22:16:36.479201,0:00:03.127580
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.5389509988280774,1.0,2020-09-23 22:16:36.484470,0:00:03.047137
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.6299193584186202,1.0,2020-09-23 22:16:36.541937,0:00:03.137367
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.6668183579186715,1.0,2020-09-23 22:16:39.425712,0:00:03.029479
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.001188948208734603,1.0,2020-09-23 22:16:39.432196,0:00:03.060939
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.34201524356180063,1.0,2020-09-23 22:16:39.438363,0:00:03.016383
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.3987870543053198,1.0,2020-09-23 22:16:39.440935,0:00:03.037675
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.7561863233300283,1.0,2020-09-23 22:16:39.468939,0:00:03.027514
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.7822472097443887,1.0,2020-09-23 22:16:39.469436,0:00:03.047267
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.42050468774112304,1.0,2020-09-23 22:16:39.484712,0:00:03.062735
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.1693689573461374,1.0,2020-09-23 22:16:39.509518,0:00:03.040874
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.0768321972697838,1.0,2020-09-23 22:16:39.510468,0:00:03.025213
611,0.0,0.5,0.1,500000,0.001,5e-324,5e-324,5e-324,2e-323,2e-323,2e-323,0.9999999999999996,1.0,5e-324,5e-324,5e-324,0.3824858271721602,1.0,2020-09-23 22:16:39.527168,0:00:03.047744
