language,noise,rate,conservativerate,numberofsentences,threshold,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,timestamp,duration
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,4.545992862864597e-260,5.399173552695915e-163,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.5861000366307719,0.9999999999999998,2020-09-23 22:36:39.719624,0:00:03.010093
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,6.948341577195158e-260,1.1871629540242212e-162,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.7137113670996317,0.9999999999999998,2020-09-23 22:36:39.720747,0:00:03.010930
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,6.412285252509595e-259,1.1407483735111906e-161,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.6359621224269576,0.9999999999999998,2020-09-23 22:36:39.733384,0:00:03.023412
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.9438788141706944e-262,1.926890999311693e-163,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.5081291276363998,0.9999999999999998,2020-09-23 22:36:39.735608,0:00:03.025536
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.494886330105645e-262,2.3074927953507762e-166,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.7592368943044749,0.9999999999999998,2020-09-23 22:36:39.740829,0:00:03.033057
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,2.15274976342435e-260,9.310990274888427e-164,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.542967197877802,0.9999999999999998,2020-09-23 22:36:39.749144,0:00:03.040260
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,2.1920880283634303e-264,5.282886136470568e-166,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.7681587453053565,0.9999999999999998,2020-09-23 22:36:39.753476,0:00:03.045100
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,2.284865188747464e-262,3.751191876217686e-164,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.5627331762311513,0.9999999999999998,2020-09-23 22:36:39.759071,0:00:03.050971
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.6215533389617404e-261,2.5540967608777644e-165,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.6521615914063559,0.9999999999999998,2020-09-23 22:36:39.776002,0:00:03.067287
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.0188986334013064e-261,5.288420650639324e-164,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.7560524493938948,0.9999999999999998,2020-09-23 22:36:39.792010,0:00:03.083750
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,2.854967175778722e-261,4.152085345524177e-163,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.8442641076080567,0.9999999999999998,2020-09-23 22:36:39.814241,0:00:03.104867
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,9.025835912712893e-262,2.7165259705578577e-163,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.7473187950056414,0.9999999999999998,2020-09-23 22:36:39.818179,0:00:03.109085
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.2214309697172438e-262,7.4516995264773715e-165,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.6005272002759645,0.9999999999999998,2020-09-23 22:36:42.759570,0:00:03.025945
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,6.676681853925025e-259,1.8145241229337182e-162,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.6452707291019063,0.9999999999999998,2020-09-23 22:36:42.761060,0:00:03.040808
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.2483172299728795e-259,1.51285542682716e-162,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.6180007740937485,0.9999999999999998,2020-09-23 22:36:42.781789,0:00:03.045938
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,5.458192023598731e-258,1.287755472252942e-161,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.566737417832077,0.9999999999999998,2020-09-23 22:36:42.799228,0:00:03.045316
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.7948502976812612e-260,2.359520539680929e-162,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.7096794674245984,0.9999999999999998,2020-09-23 22:36:42.806530,0:00:03.056896
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,2.0272119065212718e-259,3.394332635591798e-162,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.29127288173239535,0.9999999999999998,2020-09-23 22:36:42.814573,0:00:03.093159
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.9438788141706944e-262,9.694908657734722e-164,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.6519699380386205,0.9999999999999998,2020-09-23 22:36:42.831465,0:00:03.087501
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,7.84376738717123e-260,5.856664634420241e-162,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.5237598881997516,0.9999999999999998,2020-09-23 22:36:42.854820,0:00:03.078059
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,4.3614024060534976e-262,3.191375338895198e-164,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.8058468615026566,0.9999999999999998,2020-09-23 22:36:42.868881,0:00:03.109198
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,4.0312519849356163e-258,3.066601947750923e-163,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.5586249206269518,0.9999999999999998,2020-09-23 22:36:42.871663,0:00:03.078735
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,7.378627087962738e-261,9.699985670774822e-163,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.7702133596532327,0.9999999999999998,2020-09-23 22:36:42.872872,0:00:03.054456
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.5589713438895192e-259,3.4636047301957124e-162,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.5944267628685646,0.9999999999999998,2020-09-23 22:36:42.898119,0:00:03.083360
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.7219702368560568e-262,1.638469579837194e-164,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.5070239835731003,0.9999999999999998,2020-09-23 22:36:45.809329,0:00:03.046596
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,1.27312638318113e-260,8.420805232926935e-163,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.5463164070062989,0.9999999999999998,2020-09-23 22:36:45.826325,0:00:03.066446
611,0.0,0.25,0.02,500000,0.001,1e-323,1e-323,1e-323,2.0250903595111342e-261,2.3558175297927836e-165,1.2e-322,0.9999999999999973,0.9999999999999998,1e-323,1e-323,1e-323,0.6468278289213062,0.9999999999999998,2020-09-23 22:36:45.842996,0:00:03.060982
