lang,noise,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,threshold,rate,numberofsentences,conservativerate,timestamp,duration
611,0,0.0,0.0,0.0,2.4555120451771083e-09,3.0705693555493853e-06,8.33647873965972e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9971772607379552,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.137535,0:00:11.543657
611,0,0.0,0.0,0.0,2.513914723204815e-09,2.9164004199446836e-06,7.691538142388255e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9687525266368612,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.141602,0:00:11.556447
611,0,0.0,0.0,0.0,2.376971466150906e-09,3.2916217716427047e-06,7.479109841056358e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9984167280468467,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.141503,0:00:11.557597
611,0,0.0,0.0,0.0,2.3497861128463552e-09,3.2768390637301382e-06,9.058120703442575e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9894720190307722,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.143006,0:00:11.556652
611,0,0.0,0.0,0.0,2.69624130715631e-09,3.3834207716526738e-06,8.950045979628977e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9885417098683879,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.143725,0:00:11.556906
611,0,0.0,0.0,0.0,2.9194013446163757e-09,3.5551584719063474e-06,9.613578734816221e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9988499213291677,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.145525,0:00:11.554403
611,0,0.0,0.0,0.0,2.8133313731994047e-09,3.713261192307022e-06,9.108090150698479e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9943686891739629,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.149116,0:00:11.545599
611,0,0.0,0.0,0.0,2.5038766441286484e-09,3.2442258569894793e-06,8.874274130941121e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9976575425098243,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.150592,0:00:11.556514
611,0,0.0,0.0,0.0,2.47895645578253e-09,3.207121740521126e-06,1.0182707418373698e-08,0.999999999999889,1.0,0.0,0.0,0.0,0.9944447285618172,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.152319,0:00:11.563353
611,0,0.0,0.0,0.0,2.7192628168975385e-09,3.3749706740472526e-06,8.650785852592627e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9998141183344371,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.152333,0:00:11.560517
611,0,0.0,0.0,0.0,2.6801082732316517e-09,3.4225645424633355e-06,8.847684564898921e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9971305748388793,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.155331,0:00:11.563973
611,0,0.0,0.0,0.0,2.4347234718488984e-09,3.2264271560362775e-06,8.315658373589425e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.999691710561022,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.155980,0:00:11.567725
611,0,0.0,0.0,0.0,2.7206231284617693e-09,3.199111949966274e-06,8.509183911981811e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9943537022625965,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.156367,0:00:11.565843
611,0,0.0,0.0,0.0,3.052282602589689e-09,3.709548859430013e-06,9.035498035665907e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9983417673524525,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.157106,0:00:11.572735
611,0,0.0,0.0,0.0,2.577570892550537e-09,3.2916217716427047e-06,8.187727708033376e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9936010523818717,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.161420,0:00:11.567126
611,0,0.0,0.0,0.0,2.619154202677751e-09,3.2328880844893716e-06,8.041630898903238e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9989494657702723,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.164890,0:00:11.580072
611,0,0.0,0.0,0.0,2.6694065821476e-09,3.260491683741351e-06,9.404337779982062e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9998580181096807,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.175169,0:00:11.587259
611,0,0.0,0.0,0.0,2.36748020245816e-09,3.1310483321138545e-06,9.48938019908569e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9896550992361509,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.176354,0:00:11.587821
611,0,0.0,0.0,0.0,2.630969916175772e-09,3.369910748842316e-06,8.37408685157213e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9963354059116405,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.178927,0:00:11.571525
611,0,0.0,0.0,0.0,2.5982793606391863e-09,3.4225645424633355e-06,8.017536142225857e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.998882588794788,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.184107,0:00:11.598822
611,0,0.0,0.0,0.0,2.6694065821476e-09,3.5569369403765357e-06,9.613578734816221e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9956044199180877,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.187734,0:00:11.597638
611,0,0.0,0.0,0.0,2.550641293091989e-09,3.240982442188954e-06,8.530488818466375e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9860601766312511,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.188072,0:00:11.603949
611,0,0.0,0.0,0.0,3.0143571161294154e-09,3.5676264500432e-06,9.376160009406761e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9969449273601637,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.189136,0:00:11.599545
611,0,0.0,0.0,0.0,2.860148222634916e-09,3.6034907036795577e-06,9.306084401066381e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9943936257965229,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.191184,0:00:11.601313
611,0,0.0,0.0,0.0,2.870178792520834e-09,3.410603520062326e-06,1.034180901330302e-08,0.999999999999889,1.0,0.0,0.0,0.0,0.9969294800359825,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:12.196077,0:00:11.609406
