language,noise,rate,conservativerate,numberofsentences,threshold,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,timestamp,duration
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,8.947241241857362e-27,5.709197271595682e-17,3.766590507342067e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.6356679527144175,0.9999999999999978,2020-09-23 22:26:34.997386,0:00:03.037518
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,7.808470156640882e-27,3.22040029505657e-17,8.060142468959031e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.5784005866329744,0.9999999999999978,2020-09-23 22:26:35.006191,0:00:03.047919
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,8.947241241857362e-27,4.5807289145131467e-17,6.479950952704525e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.6141154898976207,0.9999999999999978,2020-09-23 22:26:35.025660,0:00:03.066215
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,7.33859185783938e-27,3.566582317671441e-17,2.0412398652751583e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.6665914091096996,0.9999999999999978,2020-09-23 22:26:35.027678,0:00:03.069819
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,7.761712974875156e-27,5.1037026255176116e-17,2.903479572609648e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.6047383626488831,0.9999999999999978,2020-09-23 22:26:35.031394,0:00:03.072093
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,8.111210464413754e-27,3.53105887274606e-17,1.5956977028368186e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.6007686026292389,0.9999999999999978,2020-09-23 22:26:35.034386,0:00:03.076322
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,1.0649569576493665e-26,4.6083235930549486e-17,3.691933080185081e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.5631993218590807,0.9999999999999978,2020-09-23 22:26:35.038543,0:00:03.079855
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,9.238479227765556e-27,4.2282070175384644e-17,3.684549214024711e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.682784409225699,0.9999999999999978,2020-09-23 22:26:35.040858,0:00:03.082025
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,1.1196145225373258e-26,4.562424321770752e-17,2.5036800580718484e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.5496549380428797,0.9999999999999978,2020-09-23 22:26:35.051731,0:00:03.093306
611,0.0,0.025,0.002,500000,0.001,9.4e-323,9.4e-323,9.4e-323,7.078846220140598e-27,2.7110430154268204e-17,1.5423034203446608e-33,0.9999999999999722,0.9999999999999978,9.4e-323,9.4e-323,9.4e-323,0.5917914835291448,0.9999999999999978,2020-09-23 22:26:35.059751,0:00:03.100026
